future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-02 13:30,1.6238743,1.628,1.7225368598824562,1.5558175
25,12-02 13:45,1.6156933,1.601,1.7032789621878557,1.5323594
25,12-02 14:00,1.6108487,1.567,1.6863479995009858,1.515575
25,12-02 14:15,1.6145145,1.5659999999999998,1.6733501900982175,1.5107522
25,12-02 14:30,1.6254592,1.558,1.6654877262319798,1.5153357
25,12-02 14:45,1.6450565,1.57,1.6632379765470209,1.5312122
25,12-02 15:00,1.6688677,1.602,1.6661124267254603,1.5548307
25,12-02 15:15,1.6949894,1.638,1.672558371267729,1.5818005
25,12-02 15:30,1.7184511,1.667,1.6800418311307326,1.6068567
25,12-02 15:45,1.7339838,1.709,1.6853156073304276,1.6233844
25,12-02 16:00,1.735321,1.717,1.6848390423715112,1.6256613
25,12-02 16:15,1.7207004,1.705,1.675284032734229,1.6130244
25,12-02 16:30,1.6862385,1.683,1.6540422207548804,1.5787976
25,12-02 16:45,1.6325487,1.6590000000000005,1.61964552302369,1.5237477
25,12-02 17:00,1.5595998,1.601,1.572027006531735,1.4487405
25,12-02 17:15,1.4702027,1.516,1.5125784855147286,1.3595337
25,12-02 17:30,1.3711402,1.413,1.4439988047407777,1.2602779
25,12-02 17:45,1.2654605,1.3019999999999998,1.3699646452291647,1.1553309
25,12-02 18:00,1.1607534,1.189,1.2946858855566594,1.0541325
25,12-02 18:15,1.0637693,1.079,1.2224240998163949,0.96267396
25,12-02 18:30,0.9786761,0.982,1.1570528818124526,0.88614374
25,12-02 18:45,0.91120774,0.908,1.1017231967670469,0.82997066
25,12-02 19:00,0.8631331,0.8439999999999999,1.0586702771302456,0.7973137
25,12-02 19:15,0.8375047,0.8049999999999999,1.0291672906080067,0.78940684
25,12-02 19:30,0.83451927,0.779,1.0136023057563608,0.80576235
25,12-02 19:45,0.84024733,0.791,1.0116352121547807,0.8686173
25,12-02 20:00,0.8911296,0.8169999999999998,1.0223838699273502,0.9217874
25,12-02 20:15,0.9562182,0.851,1.044594302952162,0.98809105
25,12-02 20:30,1.0323813,0.903,1.076765526022378,1.0635738
25,12-02 20:45,1.1116129,0.97,1.1172205056148496,1.1412096
25,12-02 21:00,1.1901475,1.042,1.1641348123803368,1.2177114
25,12-02 21:15,1.2625406,1.124,1.2155483468097714,1.2882117
25,12-02 21:30,1.3252666,1.19,1.2693896803099611,1.3491038
25,12-02 21:45,1.3786023,1.26,1.3235364950648147,1.3996984
25,12-02 22:00,1.4197772,1.308,1.3759215377408924,1.4383944
25,12-02 22:15,1.4481401,1.338,1.424675820244488,1.4647677
25,12-02 22:30,1.467058,1.357,1.468284896163524,1.4830263
25,12-02 22:45,1.4780611,1.362,1.5057246569339475,1.4930626
25,12-02 23:00,1.484512,1.3660000000000003,1.5365431858763452,1.4990059
25,12-02 23:15,1.4870892,1.378,1.560865133642333,1.500886
25,12-02 23:30,1.4887134,1.3849999999999998,1.579312350831574,1.5026159
25,12-02 23:45,1.4916334,1.391,1.592854615390826,1.5055207
25,12-03 00:00,1.4953078,1.3950000000000002,1.6026218091114235,1.5083058
25,12-03 00:15,1.5010467,1.3919999999999997,1.609718912327239,1.5125057
25,12-03 00:30,1.5073744,1.3919999999999997,1.615084713054173,1.5158767
25,12-03 00:45,1.513917,1.391,1.6194238967375916,1.5191718
25,12-03 01:00,1.5208157,1.4069999999999998,1.6232227797402283,1.5224478
25,12-03 01:15,1.5254194,1.4239999999999997,1.6268362437045878,1.5254313
25,12-03 01:30,1.5300744,1.436,1.6306133307299655,1.5274719
25,12-03 01:45,1.5335431,1.448,1.6350169090315465,1.5297953
25,12-03 02:00,1.5550091,1.465,1.6406923589942168,1.5137104
25,12-03 02:15,1.5705665,1.466,1.6484520256325124,1.5197308
25,12-03 02:30,1.5869657,1.489,1.659163753179516,1.5322366
25,12-03 02:45,1.6084207,1.5069999999999997,1.6735580665181868,1.5537106
25,12-03 03:00,1.6360612,1.556,1.691993000718898,1.5829123
25,12-03 03:15,1.6717775,1.6,1.7142318952832387,1.6204171
25,12-03 03:30,1.7122656,1.656,1.7392931210868563,1.663352
25,12-03 03:45,1.757152,1.726,1.7654201315460047,1.7059528
25,12-03 04:00,1.800847,1.788,1.790197264484788,1.7432054
25,12-03 04:15,1.8392515,1.817,1.810806270629978,1.7704085
25,12-03 04:30,1.8655205,1.842,1.8243874970016007,1.781984
25,12-03 04:45,1.8757352,1.854,1.8284451724320472,1.7762346
25,12-03 05:00,1.8663048,1.866,1.8212241344539088,1.7486346
25,12-03 05:15,1.8357145,1.857,1.801988633502415,1.7006851
25,12-03 05:30,1.7838264,1.82,1.771151995067886,1.6334244
25,12-03 05:45,1.7120116,1.7639999999999998,1.730234982026733,1.5523342
25,12-03 06:00,1.6276938,1.675,1.681664191758918,1.4633782
25,12-03 06:15,1.5340662,1.589,1.6284522827719832,1.3702455
25,12-03 06:30,1.4395148,1.496,1.5738226030605909,1.2823913
25,12-03 06:45,1.3514022,1.418,1.520847485599931,1.20453
25,12-03 07:00,1.2752852,1.342,1.472161099928326,1.1428598
25,12-03 07:15,1.2168188,1.263,1.4297868114322898,1.1003445
25,12-03 07:30,1.1777583,1.215,1.3950907936150023,1.0784737
25,12-03 07:45,1.159662,1.174,1.3688450897426236,1.0770158
25,12-03 08:00,1.1631999,1.156,1.3513611224435294,1.0951025
25,12-03 08:15,1.1567746,1.161,1.342643698315515,1.1246661
25,12-03 08:30,1.2010258,1.168,1.3425179069377204,1.180294
25,12-03 08:45,1.2547786,1.192,1.3506956190089123,1.2450985
25,12-03 09:00,1.3151928,1.24,1.3667702975476457,1.3124938
25,12-03 09:15,1.3762811,1.286,1.39015254623649,1.3795766
25,12-03 09:30,1.4342052,1.337,1.4199779415893996,1.4402404
25,12-03 09:45,1.4847351,1.4,1.4550283317312591,1.4921658
25,12-03 10:00,1.5274101,1.441,1.493705579751314,1.5321256
25,12-03 10:15,1.5600386,1.48,1.5340834195559037,1.5625112
25,12-03 10:30,1.5838186,1.509,1.574042338409684,1.5814656
25,12-03 10:45,1.5991011,1.5320000000000005,1.611469702240952,1.5919459
25,12-03 11:00,1.6079949,1.542,1.6444886716773208,1.5970684
25,12-03 11:15,1.6115514,1.538,1.671669765637509,1.5974427
25,12-03 11:30,1.6127186,1.541,1.6921807469718084,1.5964575
25,12-03 11:45,1.6124601,1.535,1.7058434341380342,1.5932373
25,12-03 12:00,1.612081,1.527,1.7130868524552822,1.5888776
25,12-03 12:15,1.6103054,1.52,1.714809520781538,1.5837562
25,12-03 12:30,1.6083981,1.511,1.712183728732547,1.5778122
25,12-03 12:45,1.605604,1.502,1.7064463590469146,1.5702659
25,12-03 13:00,1.6012511,1.494,1.6987212564754994,1.5609623
25,12-03 13:15,1.5944278,1.481,1.689907380829169,1.5506994
25,12-03 13:30,1.5866855,1.486,1.6806479135894816,1.5403924
25,12-03 13:45,1.575642,1.491,1.6713731678526869,1.5298392
25,12-03 14:00,1.5634855,1.498,1.662390469177052,1.5209857
25,12-03 14:15,1.5521142,1.5100000000000002,1.653982311388538,1.5161284
25,12-03 14:30,1.5817872,1.514,1.646473207145818,1.5198686
